0 s | CREATE BinaryScalarOp | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
0 s | WAIT_START function_interval | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
0 s | WAIT_START output_data | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
4 ns | INPUT_REQUEST in0 value=1 arrival_delay=1 ns | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
4 ns | INPUT_RESERVED | in_q0=[] in_q1=[] out_q=[] input_reserved0=1 input_reserved1=0 output_reserved=0
4 ns | WAIT_START input_arrival_latency in0 value=1 delay=1 ns | in_q0=[] in_q1=[] out_q=[] input_reserved0=1 input_reserved1=0 output_reserved=0
5 ns | WAIT_END input_arrival_latency in0 value=1 | in_q0=[] in_q1=[] out_q=[] input_reserved0=1 input_reserved1=0 output_reserved=0
5 ns | INPUT_ARRIVED in0 value=1 | in_q0=[1] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
7 ns | INPUT_REQUEST in1 value=10 arrival_delay=1 ns | in_q0=[1] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
7 ns | INPUT_RESERVED | in_q0=[1] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=1 output_reserved=0
7 ns | WAIT_START input_arrival_latency in1 value=10 delay=1 ns | in_q0=[1] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=1 output_reserved=0
8 ns | INPUT_REQUEST in0 value=2 arrival_delay=1 ns | in_q0=[1] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=1 output_reserved=0
8 ns | INPUT_RESERVED | in_q0=[1] in_q1=[] out_q=[] input_reserved0=1 input_reserved1=1 output_reserved=0
8 ns | WAIT_END input_arrival_latency in1 value=10 | in_q0=[1] in_q1=[] out_q=[] input_reserved0=1 input_reserved1=1 output_reserved=0
8 ns | INPUT_ARRIVED in1 value=10 | in_q0=[1] in_q1=[10] out_q=[] input_reserved0=1 input_reserved1=0 output_reserved=0
8 ns | WAIT_START input_arrival_latency in0 value=2 delay=1 ns | in_q0=[1] in_q1=[10] out_q=[] input_reserved0=1 input_reserved1=0 output_reserved=0
9 ns | WAIT_END input_arrival_latency in0 value=2 | in_q0=[1] in_q1=[10] out_q=[] input_reserved0=1 input_reserved1=0 output_reserved=0
9 ns | INPUT_ARRIVED in0 value=2 | in_q0=[1, 2] in_q1=[10] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
12 ns | INPUT_REQUEST in0 value=3 arrival_delay=1 ns | in_q0=[1, 2] in_q1=[10] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
12 ns | WAIT_START input_space in0 value=3 | in_q0=[1, 2] in_q1=[10] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
14 ns | INPUT_REQUEST in1 value=20 arrival_delay=1 ns | in_q0=[1, 2] in_q1=[10] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
