0 s | CREATE ScalarSink | q=[] sunk=[]
0 s | WAIT_START sink_data | q=[] sunk=[]
42 ns | INPUT_REQUEST value=11 delay=3 ns | q=[] sunk=[]
42 ns | WAIT_START sink_transfer_latency value=11 delay=3 ns | q=[] sunk=[]
45 ns | WAIT_END sink_transfer_latency value=11 | q=[] sunk=[]
45 ns | INPUT_ACCEPTED value=11 | q=[11] sunk=[]
45 ns | WAIT_END sink_data | q=[11] sunk=[]
45 ns | WAIT_START sunk_interval delay=100 ns | q=[11] sunk=[]
72 ns | INPUT_REQUEST value=22 delay=3 ns | q=[11] sunk=[]
72 ns | WAIT_START sink_input_space value=22 | q=[11] sunk=[]
145 ns | WAIT_END sunk_interval | q=[11] sunk=[]
145 ns | OUTPUT_SUNK value=11 | q=[] sunk=[11]
145 ns | WAIT_START sink_data | q=[] sunk=[11]
145 ns | WAIT_END sink_input_space value=22 | q=[] sunk=[11]
145 ns | WAIT_START sink_transfer_latency value=22 delay=3 ns | q=[] sunk=[11]
148 ns | WAIT_END sink_transfer_latency value=22 | q=[] sunk=[11]
148 ns | INPUT_ACCEPTED value=22 | q=[22] sunk=[11]
148 ns | INPUT_REQUEST value=33 delay=3 ns | q=[22] sunk=[11]
148 ns | WAIT_START sink_input_space value=33 | q=[22] sunk=[11]
148 ns | WAIT_END sink_data | q=[22] sunk=[11]
148 ns | WAIT_START sunk_interval delay=100 ns | q=[22] sunk=[11]
248 ns | WAIT_END sunk_interval | q=[22] sunk=[11]
248 ns | OUTPUT_SUNK value=22 | q=[] sunk=[11, 22]
248 ns | WAIT_START sink_data | q=[] sunk=[11, 22]
248 ns | WAIT_END sink_input_space value=33 | q=[] sunk=[11, 22]
248 ns | WAIT_START sink_transfer_latency value=33 delay=3 ns | q=[] sunk=[11, 22]
251 ns | WAIT_END sink_transfer_latency value=33 | q=[] sunk=[11, 22]
251 ns | INPUT_ACCEPTED value=33 | q=[33] sunk=[11, 22]
251 ns | INPUT_REQUEST value=44 delay=3 ns | q=[33] sunk=[11, 22]
251 ns | WAIT_START sink_input_space value=44 | q=[33] sunk=[11, 22]
251 ns | WAIT_END sink_data | q=[33] sunk=[11, 22]
251 ns | WAIT_START sunk_interval delay=100 ns | q=[33] sunk=[11, 22]
351 ns | WAIT_END sunk_interval | q=[33] sunk=[11, 22]
351 ns | OUTPUT_SUNK value=33 | q=[] sunk=[11, 22, 33]
351 ns | WAIT_START sink_data | q=[] sunk=[11, 22, 33]
351 ns | WAIT_END sink_input_space value=44 | q=[] sunk=[11, 22, 33]
351 ns | WAIT_START sink_transfer_latency value=44 delay=3 ns | q=[] sunk=[11, 22, 33]
354 ns | WAIT_END sink_transfer_latency value=44 | q=[] sunk=[11, 22, 33]
354 ns | INPUT_ACCEPTED value=44 | q=[44] sunk=[11, 22, 33]
354 ns | INPUT_REQUEST value=55 delay=3 ns | q=[44] sunk=[11, 22, 33]
354 ns | WAIT_START sink_input_space value=55 | q=[44] sunk=[11, 22, 33]
354 ns | WAIT_END sink_data | q=[44] sunk=[11, 22, 33]
354 ns | WAIT_START sunk_interval delay=100 ns | q=[44] sunk=[11, 22, 33]
454 ns | WAIT_END sunk_interval | q=[44] sunk=[11, 22, 33]
454 ns | OUTPUT_SUNK value=44 | q=[] sunk=[11, 22, 33, 44]
454 ns | WAIT_START sink_data | q=[] sunk=[11, 22, 33, 44]
454 ns | WAIT_END sink_input_space value=55 | q=[] sunk=[11, 22, 33, 44]
454 ns | WAIT_START sink_transfer_latency value=55 delay=3 ns | q=[] sunk=[11, 22, 33, 44]
457 ns | WAIT_END sink_transfer_latency value=55 | q=[] sunk=[11, 22, 33, 44]
457 ns | INPUT_ACCEPTED value=55 | q=[55] sunk=[11, 22, 33, 44]
457 ns | WAIT_END sink_data | q=[55] sunk=[11, 22, 33, 44]
457 ns | WAIT_START sunk_interval delay=100 ns | q=[55] sunk=[11, 22, 33, 44]
557 ns | WAIT_END sunk_interval | q=[55] sunk=[11, 22, 33, 44]
557 ns | OUTPUT_SUNK value=55 | q=[] sunk=[11, 22, 33, 44, 55]
557 ns | PASS | q=[] sunk=[11, 22, 33, 44, 55]
557 ns | WAIT_START sink_data | q=[] sunk=[11, 22, 33, 44, 55]
