0 s          | CREATE ScalarSource                                      | output_latch=[]
7 ns         | GENERATE value=10                                        | output_latch=[10]
7 ns         | TRANSFER_START value=10 delay=1 ns                       | output_latch=[10]
8 ns         | TRANSFER_END value=10                                    | output_latch=[]
15 ns        | GENERATE value=20                                        | output_latch=[20]
15 ns        | TRANSFER_START value=20 delay=1 ns                       | output_latch=[20]
30 ns        | TRANSFER_END value=20                                    | output_latch=[]
37 ns        | GENERATE value=30                                        | output_latch=[30]
37 ns        | TRANSFER_START value=30 delay=1 ns                       | output_latch=[30]
60 ns        | TRANSFER_END value=30                                    | output_latch=[]
67 ns        | GENERATE value=40                                        | output_latch=[40]
67 ns        | TRANSFER_START value=40 delay=1 ns                       | output_latch=[40]
90 ns        | TRANSFER_END value=40                                    | output_latch=[]
97 ns        | GENERATE value=50                                        | output_latch=[50]
97 ns        | TRANSFER_START value=50 delay=1 ns                       | output_latch=[50]
120 ns       | TRANSFER_END value=50                                    | output_latch=[]
